Id,Calories,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,StepTotal,SleepHour,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1624580081,2690,2016-05-01,36019,28.03000069,28.03000069,0,36019,,,,,1020,171,63,186,0.02,1.909999967,4.190000057,21.92000008
1644430081,3226,2016-04-14,11037,8.020000458,8.020000458,0,11037,,,,,1125,252,58,5,0,5.099999905,2.559999943,0.360000014
1644430081,3300,2016-04-19,11256,8.180000305,8.180000305,0,11256,,,,,1099,278,58,5,0,5.300000191,2.529999971,0.360000014
1644430081,3108,2016-04-28,9405,6.840000153,6.840000153,0,9405,,,,,1157,227,53,3,0,4.309999943,2.319999933,0.200000003
1644430081,3846,2016-04-30,18213,13.23999977,13.23999977,0,18213,00:00:00,1,124,142,816,402,71,9,0,9.460000038,3.140000105,0.629999995
1644430081,3324,2016-05-03,12850,9.340000153,9.340000153,0,12850,,,,,1115,221,94,10,0,4.539999962,4.090000153,0.720000029
2022484408,2897,2016-04-20,15112,10.67000008,10.67000008,0,15112,,,,,1053,276,63,48,0,5.400000095,1.929999948,3.339999914
2022484408,2709,2016-05-09,13379,9.390000343,9.390000343,0,13379,,,,,1061,297,47,35,0,5.639999866,1.629999995,2.119999886
2347167796,2010,2016-04-14,10129,6.699999809,6.699999809,0,10129,00:00:00,1,445,489,705,206,48,1,0,3.940000057,2.74000001,0.02
2347167796,2670,2016-04-16,22244,15.07999992,15.07999992,0,22244,,,,,968,268,72,66,0,5.53000021,4.099999905,5.449999809
2347167796,2198,2016-04-20,10999,7.269999981,7.269999981,0,10999,,,,,1011,269,43,11,0,4.78000021,1.809999943,0.680000007
3977333714,1625,2016-04-16,13459,9,9,0,13459,00:00:00,1,283,510,663,153,83,31,0,2.970000029,4,2.029999971
3977333714,1529,2016-04-17,10415,6.96999979,6.96999979,0,10415,00:00:00,1,381,566,600,205,58,11,0,3.920000076,2.349999905,0.699999988
3977333714,1638,2016-04-19,12414,8.779999733,8.779999733,0,12414,00:00:00,1,219,395,738,221,67,19,0,3.960000038,2.450000048,2.24000001
3977333714,1554,2016-04-20,11658,7.829999924,7.829999924,0,11658,00:00:00,2,152,305,845,164,98,2,0,3.279999971,4.349999905,0.200000003
3977333714,1638,2016-04-23,12058,8.069999695,8.069999695,0,12058,00:00:00,1,235,372,724,252,92,0,0,3.849999905,4.21999979,0
3977333714,1650,2016-04-30,13238,9.199999809,9.199999809,0,13238,12:00:00 a. m.,1,237,382,687,194,52,43,0,3.410000086,2.099999905,3.690000057
3977333714,1760,2016-05-02,16520,11.05000019,11.05000019,0,16520,00:00:00,1,230,384,713,176,143,24,0,3.019999981,6.480000019,1.539999962
3977333714,1628,2016-05-04,13559,9.43999958,9.43999958,0,13559,00:00:00,1,213,336,852,142,96,14,0,2.890000105,4.579999924,1.809999943
3977333714,1618,2016-05-05,12312,8.579999924,8.579999924,0,12312,00:00:00,1,318,480,680,178,88,14,0,2.710000038,4.110000134,1.75999999
3977333714,1590,2016-05-06,11677,8.279999733,8.279999733,0,11677,12:00:00 a. m.,1,323,512,676,168,55,29,0,2.670000076,2.50999999,3.109999895
3977333714,1574,2016-05-07,11550,7.730000019,7.730000019,0,11550,00:00:00,1,237,443,703,208,86,0,0,3.589999914,4.130000114,0
3977333714,1633,2016-05-08,13585,9.090000153,9.090000153,0,13585,00:00:00,2,259,456,688,171,116,9,0,3.170000076,5.239999771,0.680000007
3977333714,1667,2016-05-09,14687,10.07999992,10.07999992,0,14687,,,,,1159,151,122,8,0,3.549999952,5.599999905,0.769999981
3977333714,1630,2016-05-10,13072,8.779999733,8.779999733,0,13072,12:00:00 a. m.,1,312,452,676,196,115,1,0,3.309999943,5.400000095,0.07
4319703577,2324,2016-04-27,10780,7.230000019,7.230000019,0,10780,12:00:00 a. m.,1,286,307,680,300,47,6,0,4.909999847,1.919999957,0.409999996
4388161847,3074,2016-04-27,11193,8.609999657,8.609999657,0,11193,00:00:00,1,439,500,684,241,48,11,0,5.389999866,2.50999999,0.699999988
4388161847,3283,2016-04-30,12533,9.640000343,9.640000343,0,12533,12:00:00 a. m.,2,409,430,537,300,43,14,0,6.940000057,2,0.699999988
4388161847,2899,2016-05-05,9603,7.380000114,7.380000114,0,9603,00:00:00,1,471,495,896,199,39,12,0,5.090000153,1.669999957,0.629999995
4388161847,2899,2016-05-05,9603,7.380000114,7.380000114,0,9603,00:00:00,1,471,495,896,199,39,12,0,5.090000153,1.669999957,0.629999995
4388161847,3425,2016-05-06,13175,10.13000011,10.13000011,0,13175,,,,,1100,262,45,33,0,5.929999828,2.089999914,2.109999895
4388161847,4022,2016-05-07,22770,17.54000092,17.54000092,0,22770,12:00:00 a. m.,1,472,496,508,260,56,120,0,5.329999924,2.769999981,9.449999809
4702921684,3394,2016-04-17,12692,10.28999996,10.28999996,0,12692,00:00:00,1,591,612,437,302,66,12,0,5.880000114,3.460000038,0.959999979
4702921684,3691,2016-04-23,15126,12.27000046,12.27000046,0,15126,12:00:00 a. m.,1,465,475,469,408,66,9,0,8.270000458,3.24000001,0.75999999
4702921684,3287,2016-05-08,12857,10.43000031,10.43000031,0,12857,,,,,1019,192,125,9,0,3.539999962,6.210000038,0.680000007
4702921684,3172,2016-05-10,10613,8.609999657,8.609999657,0,10613,12:00:00 a. m.,1,416,431,701,262,37,1,0,6.650000095,1.879999995,0.079999998
5577150313,4005,2016-04-15,12087,9.079999924,9.079999924,0,12087,00:00:00,1,392,413,695,199,54,115,0,3.559999943,1.600000024,3.920000076
