Id,Activity_Date,Activity_hour,TotalIntensity,AverageIntensity
1503960366,12/04/2016,12:00:00 p. m.,20,0.333333
1503960366,12/04/2016,01:00:00 a. m.,8,0.133333
1503960366,12/04/2016,02:00:00 a. m.,7,0.116667
1503960366,12/04/2016,03:00:00 a. m.,0,0
1503960366,12/04/2016,04:00:00 a. m.,0,0
1503960366,12/04/2016,05:00:00 a. m.,0,0
1503960366,12/04/2016,06:00:00 a. m.,0,0
1503960366,12/04/2016,07:00:00 a. m.,0,0
1503960366,12/04/2016,08:00:00 a. m.,13,0.216667
1503960366,12/04/2016,09:00:00 a. m.,30,0.5
1503960366,12/04/2016,10:00:00 a. m.,29,0.483333
1503960366,12/04/2016,11:00:00 a. m.,12,0.2
1503960366,12/04/2016,12:00:00 p. m.,11,0.183333
1503960366,12/04/2016,01:00:00 a. m.,6,0.1
1503960366,12/04/2016,02:00:00 a. m.,36,0.6
1503960366,12/04/2016,03:00:00 a. m.,58,0.966667
1503960366,12/04/2016,04:00:00 a. m.,13,0.216667
1503960366,12/04/2016,05:00:00 a. m.,16,0.266667
1503960366,12/04/2016,06:00:00 a. m.,29,0.483333
1503960366,12/04/2016,07:00:00 a. m.,39,0.65
1503960366,12/04/2016,08:00:00 a. m.,41,0.683333
1503960366,12/04/2016,09:00:00 a. m.,31,0.516667
1503960366,12/04/2016,10:00:00 a. m.,9,0.15
1503960366,12/04/2016,11:00:00 a. m.,21,0.35
1503960366,13/04/16,12:00:00 p. m.,14,0.233333
1503960366,13/04/16,01:00:00 a. m.,0,0
1503960366,13/04/16,02:00:00 a. m.,0,0
1503960366,13/04/16,03:00:00 a. m.,4,0.066667
1503960366,13/04/16,04:00:00 a. m.,0,0
1503960366,13/04/16,05:00:00 a. m.,0,0
1503960366,13/04/16,06:00:00 a. m.,0,0
1503960366,13/04/16,07:00:00 a. m.,8,0.133333
1503960366,13/04/16,08:00:00 a. m.,12,0.2
1503960366,13/04/16,09:00:00 a. m.,27,0.45
1503960366,13/04/16,10:00:00 a. m.,15,0.25
1503960366,13/04/16,11:00:00 a. m.,16,0.266667
1503960366,13/04/16,12:00:00 p. m.,15,0.25
1503960366,13/04/16,01:00:00 a. m.,10,0.166667
1503960366,13/04/16,02:00:00 a. m.,46,0.766667
1503960366,13/04/16,03:00:00 a. m.,13,0.216667
1503960366,13/04/16,04:00:00 a. m.,10,0.166667
1503960366,13/04/16,05:00:00 a. m.,23,0.383333
1503960366,13/04/16,06:00:00 a. m.,25,0.416667
1503960366,13/04/16,07:00:00 a. m.,13,0.216667
1503960366,13/04/16,08:00:00 a. m.,0,0
1503960366,13/04/16,09:00:00 a. m.,0,0
1503960366,13/04/16,10:00:00 a. m.,11,0.183333
1503960366,13/04/16,11:00:00 a. m.,56,0.933333
1503960366,14/04/16,12:00:00 p. m.,4,0.066667
1503960366,14/04/16,01:00:00 a. m.,3,0.05
1503960366,14/04/16,02:00:00 a. m.,0,0
1503960366,14/04/16,03:00:00 a. m.,0,0
1503960366,14/04/16,04:00:00 a. m.,0,0
1503960366,14/04/16,05:00:00 a. m.,0,0
1503960366,14/04/16,06:00:00 a. m.,0,0
1503960366,14/04/16,07:00:00 a. m.,0,0
1503960366,14/04/16,08:00:00 a. m.,0,0
1503960366,14/04/16,09:00:00 a. m.,14,0.233333
1503960366,14/04/16,10:00:00 a. m.,23,0.383333
1503960366,14/04/16,11:00:00 a. m.,7,0.116667
1503960366,14/04/16,12:00:00 p. m.,18,0.3
1503960366,14/04/16,01:00:00 a. m.,54,0.9
1503960366,14/04/16,02:00:00 a. m.,22,0.366667
1503960366,14/04/16,03:00:00 a. m.,7,0.116667
1503960366,14/04/16,04:00:00 a. m.,25,0.416667
1503960366,14/04/16,05:00:00 a. m.,5,0.083333
1503960366,14/04/16,06:00:00 a. m.,12,0.2
1503960366,14/04/16,07:00:00 a. m.,1,0.016667
1503960366,14/04/16,08:00:00 a. m.,24,0.4
1503960366,14/04/16,09:00:00 a. m.,57,0.95
1503960366,14/04/16,10:00:00 a. m.,17,0.283333
1503960366,14/04/16,11:00:00 a. m.,0,0
1503960366,15/04/16,12:00:00 p. m.,6,0.1
1503960366,15/04/16,01:00:00 a. m.,5,0.083333
1503960366,15/04/16,02:00:00 a. m.,7,0.116667
1503960366,15/04/16,03:00:00 a. m.,0,0
1503960366,15/04/16,04:00:00 a. m.,0,0
1503960366,15/04/16,05:00:00 a. m.,1,0.016667
1503960366,15/04/16,06:00:00 a. m.,0,0
1503960366,15/04/16,07:00:00 a. m.,1,0.016667
1503960366,15/04/16,08:00:00 a. m.,5,0.083333
1503960366,15/04/16,09:00:00 a. m.,2,0.033333
1503960366,15/04/16,10:00:00 a. m.,8,0.133333
1503960366,15/04/16,11:00:00 a. m.,23,0.383333
1503960366,15/04/16,12:00:00 p. m.,13,0.216667
1503960366,15/04/16,01:00:00 a. m.,9,0.15
1503960366,15/04/16,02:00:00 a. m.,0,0
1503960366,15/04/16,03:00:00 a. m.,0,0
1503960366,15/04/16,04:00:00 a. m.,0,0
1503960366,15/04/16,05:00:00 a. m.,47,0.783333
1503960366,15/04/16,06:00:00 a. m.,22,0.366667
1503960366,15/04/16,07:00:00 a. m.,32,0.533333
1503960366,15/04/16,08:00:00 a. m.,8,0.133333
1503960366,15/04/16,09:00:00 a. m.,14,0.233333
1503960366,15/04/16,10:00:00 a. m.,66,1.1
1503960366,15/04/16,11:00:00 a. m.,95,1.583333
1503960366,04/2016/2016,12:00:00 p. m.,15,0.25
1503960366,04/2016/2016,01:00:00 a. m.,0,0
1503960366,04/2016/2016,02:00:00 a. m.,3,0.05
1503960366,04/2016/2016,03:00:00 a. m.,1,0.016667
1503960366,04/2016/2016,04:00:00 a. m.,1,0.016667
1503960366,04/2016/2016,05:00:00 a. m.,1,0.016667
1503960366,04/2016/2016,06:00:00 a. m.,0,0
1503960366,04/2016/2016,07:00:00 a. m.,4,0.066667
1503960366,04/2016/2016,08:00:00 a. m.,9,0.15
1503960366,04/2016/2016,09:00:00 a. m.,38,0.633333
1503960366,04/2016/2016,10:00:00 a. m.,14,0.233333
1503960366,04/2016/2016,11:00:00 a. m.,30,0.5
1503960366,04/2016/2016,12:00:00 p. m.,42,0.7
1503960366,04/2016/2016,01:00:00 a. m.,90,1.5
1503960366,04/2016/2016,02:00:00 a. m.,20,0.333333
1503960366,04/2016/2016,03:00:00 a. m.,0,0
1503960366,04/2016/2016,04:00:00 a. m.,2,0.033333
1503960366,04/2016/2016,05:00:00 a. m.,17,0.283333
1503960366,04/2016/2016,06:00:00 a. m.,10,0.166667
1503960366,04/2016/2016,07:00:00 a. m.,12,0.2
1503960366,04/2016/2016,08:00:00 a. m.,19,0.316667
