Id,Activity_Date,Activity_hour,StepTotal
1503960366,12/04/2016,12:00:00 a. m.,373
1503960366,12/04/2016,01:00:00 a. m.,160
1503960366,12/04/2016,02:00:00 a. m.,151
1503960366,12/04/2016,03:00:00 a. m.,0
1503960366,12/04/2016,04:00:00 a. m.,0
1503960366,12/04/2016,05:00:00 a. m.,0
1503960366,12/04/2016,06:00:00 a. m.,0
1503960366,12/04/2016,07:00:00 a. m.,0
1503960366,12/04/2016,08:00:00 a. m.,250
1503960366,12/04/2016,09:00:00 a. m.,1864
1503960366,12/04/2016,10:00:00 a. m.,676
1503960366,12/04/2016,11:00:00 a. m.,360
1503960366,12/04/2016,12:00:00 p. m.,253
1503960366,12/04/2016,01:00:00 p. m.,221
1503960366,12/04/2016,02:00:00 p. m.,1166
1503960366,12/04/2016,03:00:00 p. m.,2063
1503960366,12/04/2016,04:00:00 p. m.,344
1503960366,12/04/2016,05:00:00 p. m.,489
1503960366,12/04/2016,06:00:00 p. m.,1386
1503960366,12/04/2016,07:00:00 p. m.,558
1503960366,12/04/2016,08:00:00 p. m.,1733
1503960366,12/04/2016,09:00:00 p. m.,684
1503960366,12/04/2016,10:00:00 p. m.,89
1503960366,12/04/2016,11:00:00 p. m.,338
1503960366,13/04/2016,12:00:00 a. m.,144
1503960366,13/04/2016,01:00:00 a. m.,0
1503960366,13/04/2016,02:00:00 a. m.,0
1503960366,13/04/2016,03:00:00 a. m.,36
1503960366,13/04/2016,04:00:00 a. m.,0
1503960366,13/04/2016,05:00:00 a. m.,0
1503960366,13/04/2016,06:00:00 a. m.,0
1503960366,13/04/2016,07:00:00 a. m.,126
1503960366,13/04/2016,08:00:00 a. m.,275
1503960366,13/04/2016,09:00:00 a. m.,1679
1503960366,13/04/2016,10:00:00 a. m.,295
1503960366,13/04/2016,11:00:00 a. m.,524
1503960366,13/04/2016,12:00:00 p. m.,486
1503960366,13/04/2016,01:00:00 p. m.,302
1503960366,13/04/2016,02:00:00 p. m.,1577
1503960366,13/04/2016,03:00:00 p. m.,493
1503960366,13/04/2016,04:00:00 p. m.,299
1503960366,13/04/2016,05:00:00 p. m.,695
1503960366,13/04/2016,06:00:00 p. m.,1343
1503960366,13/04/2016,07:00:00 p. m.,258
1503960366,13/04/2016,08:00:00 p. m.,0
1503960366,13/04/2016,09:00:00 p. m.,0
1503960366,13/04/2016,10:00:00 p. m.,437
1503960366,13/04/2016,11:00:00 p. m.,1766
1503960366,14/04/2016,12:00:00 a. m.,81
1503960366,14/04/2016,01:00:00 a. m.,58
1503960366,14/04/2016,02:00:00 a. m.,0
1503960366,14/04/2016,03:00:00 a. m.,0
1503960366,14/04/2016,04:00:00 a. m.,0
1503960366,14/04/2016,05:00:00 a. m.,0
1503960366,14/04/2016,06:00:00 a. m.,0
1503960366,14/04/2016,07:00:00 a. m.,0
1503960366,14/04/2016,08:00:00 a. m.,0
1503960366,14/04/2016,09:00:00 a. m.,902
1503960366,14/04/2016,10:00:00 a. m.,1106
1503960366,14/04/2016,11:00:00 a. m.,50
1503960366,14/04/2016,12:00:00 p. m.,501
1503960366,14/04/2016,01:00:00 p. m.,1779
1503960366,14/04/2016,02:00:00 p. m.,1228
1503960366,14/04/2016,03:00:00 p. m.,139
1503960366,14/04/2016,04:00:00 p. m.,408
1503960366,14/04/2016,05:00:00 p. m.,37
1503960366,14/04/2016,06:00:00 p. m.,322
1503960366,14/04/2016,07:00:00 p. m.,11
1503960366,14/04/2016,08:00:00 p. m.,806
1503960366,14/04/2016,09:00:00 p. m.,2670
1503960366,14/04/2016,10:00:00 p. m.,362
1503960366,14/04/2016,11:00:00 p. m.,0
1503960366,15/04/2016,12:00:00 a. m.,83
1503960366,15/04/2016,01:00:00 a. m.,75
1503960366,15/04/2016,02:00:00 a. m.,124
1503960366,15/04/2016,03:00:00 a. m.,0
1503960366,15/04/2016,04:00:00 a. m.,0
1503960366,15/04/2016,05:00:00 a. m.,26
1503960366,15/04/2016,06:00:00 a. m.,0
1503960366,15/04/2016,07:00:00 a. m.,7
1503960366,15/04/2016,08:00:00 a. m.,55
1503960366,15/04/2016,09:00:00 a. m.,21
1503960366,15/04/2016,10:00:00 a. m.,154
1503960366,15/04/2016,11:00:00 a. m.,425
