Id,SleepDay,SleepHour,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,12/04/2016,12:00:00 a. m.,1,327,346
1503960366,13/04/2016,00:00:00,2,384,407
1503960366,15/04/2016,00:00:00,1,412,442
1503960366,16/04/2016,12:00:00 a. m.,2,340,367
1503960366,17/04/2016,00:00:00,1,700,712
1503960366,19/04/2016,00:00:00,1,304,320
1503960366,20/04/2016,12:00:00 a. m.,1,360,377
1503960366,21/04/2016,00:00:00,1,325,364
1503960366,23/04/2016,00:00:00,1,361,384
1503960366,24/04/2016,12:00:00 a. m.,1,430,449
1503960366,25/04/2016,00:00:00,1,277,323
1503960366,26/04/2016,00:00:00,1,245,274
1503960366,28/04/2016,12:00:00 a. m.,1,366,393
1503960366,29/04/2016,00:00:00,1,341,354
1503960366,30/04/2016,00:00:00,1,404,425
1503960366,01/05/2016,12:00:00 a. m.,1,369,396
1503960366,02/05/2016,00:00:00,1,277,309
1503960366,03/05/2016,00:00:00,1,273,296
1503960366,05/05/2016,12:00:00 a. m.,1,247,264
1503960366,06/05/2016,00:00:00,1,334,367
1503960366,07/05/2016,00:00:00,1,331,349
1503960366,08/05/2016,12:00:00 a. m.,1,594,611
1503960366,09/05/2016,00:00:00,1,338,342
1503960366,10/05/2016,00:00:00,1,383,403
1503960366,11/05/2016,12:00:00 a. m.,1,285,306
1644430081,29/04/2016,00:00:00,1,119,127
1644430081,30/04/2016,00:00:00,1,124,142
1644430081,02/05/2016,12:00:00 a. m.,1,796,961
1644430081,08/05/2016,00:00:00,1,137,154
1844505072,15/04/2016,00:00:00,1,644,961
1844505072,30/04/2016,12:00:00 a. m.,1,722,961
1844505072,01/05/2016,00:00:00,1,590,961
1927972279,12/04/2016,00:00:00,3,750,775
1927972279,13/04/2016,12:00:00 a. m.,1,398,422
1927972279,15/04/2016,00:00:00,2,475,499
1927972279,26/04/2016,00:00:00,1,296,315
1927972279,28/04/2016,12:00:00 a. m.,1,166,178
2026352035,12/04/2016,00:00:00,1,503,546
2026352035,13/04/2016,00:00:00,1,531,565
2026352035,14/04/2016,12:00:00 a. m.,1,545,568
2026352035,15/04/2016,00:00:00,1,523,573
2026352035,16/04/2016,00:00:00,1,524,567
2026352035,17/04/2016,12:00:00 a. m.,1,437,498
2026352035,19/04/2016,00:00:00,1,498,540
2026352035,20/04/2016,00:00:00,1,461,510
2026352035,21/04/2016,12:00:00 a. m.,1,477,514
2026352035,22/04/2016,00:00:00,1,520,545
2026352035,23/04/2016,00:00:00,1,522,554
2026352035,24/04/2016,12:00:00 a. m.,1,555,591
2026352035,25/04/2016,00:00:00,1,506,531
2026352035,27/04/2016,00:00:00,1,508,545
2026352035,28/04/2016,12:00:00 a. m.,1,513,545
2026352035,29/04/2016,00:00:00,1,490,510
2026352035,30/04/2016,00:00:00,1,573,607
2026352035,01/05/2016,12:00:00 a. m.,1,527,546
2026352035,02/05/2016,00:00:00,1,511,543
2026352035,04/05/2016,00:00:00,1,538,560
2026352035,05/05/2016,12:00:00 a. m.,1,468,485
2026352035,06/05/2016,00:00:00,1,524,548
2026352035,07/05/2016,00:00:00,1,511,521
2026352035,08/05/2016,12:00:00 a. m.,1,541,568
2026352035,09/05/2016,00:00:00,1,531,556
2026352035,10/05/2016,00:00:00,1,357,380
2026352035,11/05/2016,12:00:00 a. m.,1,523,553
2026352035,12/05/2016,00:00:00,1,456,485
2320127002,23/04/2016,00:00:00,1,61,69
2347167796,13/04/2016,12:00:00 a. m.,1,467,531
2347167796,14/04/2016,00:00:00,1,445,489
2347167796,15/04/2016,00:00:00,1,452,504
2347167796,17/04/2016,12:00:00 a. m.,1,556,602
2347167796,18/04/2016,00:00:00,1,500,557
2347167796,19/04/2016,00:00:00,1,465,514
2347167796,21/04/2016,12:00:00 a. m.,1,460,484
2347167796,22/04/2016,00:00:00,1,405,461
2347167796,23/04/2016,00:00:00,1,374,386
2347167796,24/04/2016,12:00:00 a. m.,1,442,459
2347167796,25/04/2016,00:00:00,1,433,471
2347167796,26/04/2016,00:00:00,1,436,490
2347167796,27/04/2016,12:00:00 a. m.,1,448,499
2347167796,28/04/2016,00:00:00,1,408,450
2347167796,29/04/2016,00:00:00,1,411,473
3977333714,12/04/2016,12:00:00 a. m.,1,274,469
3977333714,13/04/2016,00:00:00,2,295,456
3977333714,14/04/2016,00:00:00,1,291,397
3977333714,15/04/2016,12:00:00 a. m.,1,424,556
3977333714,16/04/2016,00:00:00,1,283,510
3977333714,17/04/2016,00:00:00,1,381,566
3977333714,18/04/2016,12:00:00 a. m.,2,412,522
3977333714,19/04/2016,00:00:00,1,219,395
3977333714,20/04/2016,00:00:00,2,152,305
3977333714,21/04/2016,12:00:00 a. m.,1,332,512
3977333714,22/04/2016,00:00:00,1,355,476
3977333714,23/04/2016,00:00:00,1,235,372
3977333714,24/04/2016,12:00:00 a. m.,1,310,526
3977333714,25/04/2016,00:00:00,1,262,467
3977333714,26/04/2016,00:00:00,1,250,371
3977333714,27/04/2016,12:00:00 a. m.,1,349,540
3977333714,28/04/2016,00:00:00,1,261,423
3977333714,29/04/2016,00:00:00,1,333,478
3977333714,30/04/2016,12:00:00 a. m.,1,237,382
3977333714,01/05/2016,00:00:00,1,383,626
3977333714,02/05/2016,00:00:00,1,230,384
3977333714,03/05/2016,12:00:00 a. m.,1,292,500
3977333714,04/05/2016,00:00:00,1,213,336
3977333714,05/05/2016,00:00:00,1,318,480
3977333714,06/05/2016,12:00:00 a. m.,1,323,512
3977333714,07/05/2016,00:00:00,1,237,443
3977333714,08/05/2016,00:00:00,2,259,456
3977333714,10/05/2016,12:00:00 a. m.,1,312,452
4020332650,12/04/2016,00:00:00,1,501,541
4020332650,16/04/2016,00:00:00,1,77,77
4020332650,03/05/2016,12:00:00 a. m.,1,322,332
4020332650,04/05/2016,00:00:00,1,478,536
4020332650,05/05/2016,00:00:00,1,226,248
4020332650,06/05/2016,12:00:00 a. m.,1,385,408
4020332650,08/05/2016,00:00:00,1,364,402
4020332650,10/05/2016,00:00:00,1,442,494
4319703577,14/04/2016,12:00:00 a. m.,1,535,557
4319703577,15/04/2016,00:00:00,1,465,491
4319703577,16/04/2016,00:00:00,1,506,522
4319703577,18/04/2016,12:00:00 a. m.,1,515,551
4319703577,19/04/2016,00:00:00,2,461,498
4319703577,20/04/2016,00:00:00,1,523,543
4319703577,21/04/2016,12:00:00 a. m.,1,59,65
4319703577,22/04/2016,00:00:00,1,533,550
4319703577,23/04/2016,00:00:00,1,692,722
4319703577,24/04/2016,12:00:00 a. m.,1,467,501
4319703577,25/04/2016,00:00:00,1,488,506
4319703577,26/04/2016,00:00:00,1,505,516
4319703577,27/04/2016,12:00:00 a. m.,1,286,307
4319703577,28/04/2016,00:00:00,1,497,522
4319703577,29/04/2016,00:00:00,1,523,546
4319703577,30/04/2016,12:00:00 a. m.,1,490,516
4319703577,01/05/2016,00:00:00,1,484,500
4319703577,02/05/2016,00:00:00,1,478,506
4319703577,03/05/2016,12:00:00 a. m.,1,474,512
4319703577,06/05/2016,00:00:00,1,450,491
4319703577,07/05/2016,00:00:00,1,507,530
4319703577,08/05/2016,12:00:00 a. m.,1,602,638
4319703577,09/05/2016,00:00:00,1,535,565
4319703577,10/05/2016,00:00:00,1,487,517
4319703577,11/05/2016,12:00:00 a. m.,1,529,558
4319703577,12/05/2016,00:00:00,1,302,321
4388161847,15/04/2016,00:00:00,1,499,526
4388161847,16/04/2016,12:00:00 a. m.,2,426,448
4388161847,17/04/2016,00:00:00,2,619,641
4388161847,18/04/2016,00:00:00,1,99,104
4388161847,19/04/2016,12:00:00 a. m.,1,329,338
4388161847,20/04/2016,00:00:00,1,421,451
4388161847,21/04/2016,00:00:00,1,442,458
4388161847,22/04/2016,12:00:00 a. m.,1,82,85
4388161847,23/04/2016,00:00:00,1,478,501
4388161847,24/04/2016,00:00:00,3,552,595
4388161847,26/04/2016,12:00:00 a. m.,1,319,346
4388161847,27/04/2016,00:00:00,1,439,500
4388161847,28/04/2016,00:00:00,1,428,458
4388161847,30/04/2016,12:00:00 a. m.,2,409,430
4388161847,01/05/2016,00:00:00,1,547,597
4388161847,02/05/2016,00:00:00,2,368,376
4388161847,04/05/2016,12:00:00 a. m.,1,390,414
4388161847,05/05/2016,00:00:00,1,471,495
